ID,ExpertLevel,Complexity,30sInterval,duration_start,Node,AOI_duration,clicked,pupil_diameter,click_duration?,distance_to_aoi,controller_direction(pointing)_angle,controller_duration_on_AOI,duration_time_until_first fixation
033,0,0,510,510.0329,6A,0.0670000000000072,0,0.11315310955804514,,,,,
033,0,0,510,510.0999,9B,0.2656000000000063,0,0.0712169845580452,,,,,
033,0,0,510,510.3655,6A,0.6333999999999946,0,0.13376062271593997,,,,,
033,0,0,510,511.132,6B,0.4331999999999993,0,0.16105716725035296,,,,,
033,0,0,510,511.5652,6A,1.0988999999999578,0,0.27167614743683305,,,,,
033,0,0,510,512.6978,8B,0.2670999999999139,0,0.2287381928913785,,,,,
033,0,0,510,514.296,PB,0.3822999999999865,0,0.0844831452723309,,,,,
033,0,0,510,515.1027,7A,0.1947999999999865,0,-0.08439964044195479,,,,,
033,0,0,510,515.3576,5B,0.2059999999999036,0,0.043469073843759344,,,,,
033,0,0,510,515.6308,8B,0.0662999999999556,0,0.04827260955804524,,,,,
033,0,0,510,515.6971,5B,0.0674999999999954,0,0.08166260955804505,,,,,
033,0,0,510,515.7646,8B,0.9650000000000318,1,0.45290839261589644,,,,,
033,0,0,510,520.1611,5B,0.2668999999999641,0,0.6224424845580452,,,,,
033,0,0,510,520.5946,8B,0.0996000000000094,0,0.48694235955804527,,,,,
033,0,0,510,521.6929,PB,1.3356999999999744,0,0.09476048700902556,,,,,
033,0,0,510,523.4274,5A,0.0812999999999419,0,0.1671995262247119,,,,,
033,0,0,510,523.5355,5B,0.3134000000000014,0,0.2710063595580452,,,,,
033,0,0,510,524.0489,8B,0.0667999999999438,0,0.3528493595580453,,,,,
033,0,0,510,524.3484,5B,0.3999000000000023,0,0.41485656789137854,,,,,
033,0,0,510,524.7818,2B,0.2667000000000143,0,0.37787460955804514,,,,,
033,0,0,510,525.0485,5A,0.1661000000000285,0,0.2741560595580451,,,,,
033,0,0,510,525.2146,2B,0.1000000000000227,0,0.2724240262247119,,,,,
033,0,0,510,525.3146,5A,0.0664999999999054,0,0.3422236095580452,,,,,
033,0,0,510,525.6484,5B,0.0996000000000094,0,0.40846635955804517,,,,,
033,0,0,510,525.9808,9A,0.0673999999999068,0,0.32743210955804525,,,,,
033,0,0,510,526.1141,6A,0.1333999999999378,0,0.4273579845580452,,,,,
033,0,0,510,526.2475,9A,0.1000000000000227,0,0.40671152622471185,,,,,
033,0,0,510,526.3475,6A,0.7327999999999975,0,0.4289581322853179,,,,,
033,0,0,510,527.2803,9B,0.0998999999999341,0,0.49501152622471184,,,,,
033,0,0,510,527.7469,8B,0.3007000000000062,0,0.44319958178026736,,,,,
033,0,0,510,528.9124,PB,3.028599999999983,0,0.011685437144252072,,,,,
033,0,0,510,532.5547,7A,0.3310000000000173,0,0.0337021512247118,,,,,
033,0,0,510,532.9171,5B,0.0868000000000392,0,0.12362785955804512,,,,,
033,0,0,510,533.0039,8A,0.0964999999999918,0,0.10556152622471204,,,,,
033,0,0,510,533.1004,5B,0.0663999999999305,0,0.15502685955804507,,,,,
033,0,0,510,533.3668,9A,0.1327999999999747,0,-0.01107276544195479,,,,,
033,0,0,510,533.4996,6A,0.66700000000003,0,0.06802070955804518,,,,,
033,0,0,510,534.1666,3A,0.4326999999999543,0,0.2540207826349682,,,,,
033,0,0,510,534.9324,6A,0.3338999999999714,0,0.4092364050125907,,,,,
033,0,0,510,535.4318,2B,0.3839000000000396,0,0.41843925241518803,,,,,
033,0,0,510,535.8157,2A,0.6065999999999576,0,0.26912299113699256,,,,,
033,0,0,510,537.025,4B,0.5736000000000558,0,0.11889858455804514,,,,,
033,0,0,510,538.6159,PB,0.7841999999999416,0,-0.1706633904419548,,,,,
033,0,0,510,539.7764,4A,0.15949999999998,0,-0.15365597377528814,,,,,
033,0,0,510,539.991,5A,0.2753000000000156,0,0.053284859558045294,,,,,
